"","Date","Time","Block","Trial","a","b","c","TimePTri","AccTime","Xpos_cursor","Ypos_cursor","Xpos_dot","Ypos_dot","time"
"1","31-Mar-2020","08:23:24",1,1,2,3,3,0,0,1273,717,1145,612,1
"2","31-Mar-2020","08:23:24",1,1,2,3,3,12.0046,12.8611,1273,717,1144,612,2
"3","31-Mar-2020","08:23:24",1,1,2,3,3,12.2012,26.3544,1273,717,1127,612,3
"4","31-Mar-2020","08:23:24",1,1,2,3,3,12.8848,39.6328,1273,717,1111,612,4
"5","31-Mar-2020","08:23:24",1,1,2,3,3,12.8643,52.7618,1273,717,1091,612,5
"6","31-Mar-2020","08:23:24",1,1,2,3,3,13.7474,67.1976,1273,717,1069,612,6
"7","31-Mar-2020","08:23:24",1,1,2,3,3,10.9203,79.2994,1273,717,1046,612,7
"8","31-Mar-2020","08:23:24",1,1,2,3,3,13.2669,92.5906,1273,717,1028,612,8
"9","31-Mar-2020","08:23:24",1,1,2,3,3,13.3095,105.9255,1273,717,1005,612,9
"10","31-Mar-2020","08:23:24",1,1,2,3,3,13.3493,119.2998,1273,717,982,612,10
"11","31-Mar-2020","08:23:24",1,1,2,3,3,13.2649,132.5891,1273,717,959,612,11
"12","31-Mar-2020","08:23:24",1,1,2,3,3,13.3038,145.917,1273,717,936,612,12
"13","31-Mar-2020","08:23:24",1,1,2,3,3,13.3397,159.2814,1273,717,914,612,13
"14","31-Mar-2020","08:23:24",1,1,2,3,3,13.2771,172.5832,1273,717,892,612,14
"15","31-Mar-2020","08:23:24",1,1,2,3,3,13.3095,185.9184,1273,717,871,612,15
"16","31-Mar-2020","08:23:24",1,1,2,3,3,13.3525,199.2956,1273,717,850,612,16
"17","31-Mar-2020","08:23:24",1,1,2,3,3,13.2592,212.5798,1273,717,831,612,17
"18","31-Mar-2020","08:23:24",1,1,2,3,3,13.3089,225.9137,1273,717,813,612,18
"19","31-Mar-2020","08:23:24",1,1,2,3,3,13.3381,239.2768,1273,717,796,612,19
"20","31-Mar-2020","08:23:24",1,1,2,3,3,13.2646,252.5796,1273,717,780,612,20
"21","31-Mar-2020","08:23:24",1,1,2,3,3,13.4276,266.0367,1273,717,766,612,21
"22","31-Mar-2020","08:23:24",1,1,2,3,3,13.3467,279.4621,1273,717,753,612,22
"23","31-Mar-2020","08:23:24",1,1,2,3,3,13.1055,292.599,1273,717,742,612,23
"24","31-Mar-2020","08:23:24",1,1,2,3,3,13.2929,305.9204,1273,717,732,612,24
"25","31-Mar-2020","08:23:24",1,1,2,3,3,13.2993,319.247,1272,717,724,612,25
"26","31-Mar-2020","08:23:24",1,1,2,3,3,13.3695,332.6431,1261,715,717,612,26
"27","31-Mar-2020","08:23:24",1,1,2,3,3,13.2431,345.9125,1233,713,712,612,27
"28","31-Mar-2020","08:23:24",1,1,2,3,3,13.3467,359.2862,1204,715,708,612,28
"29","31-Mar-2020","08:23:24",1,1,2,3,3,13.3352,372.6631,1177,721,705,612,29
"30","31-Mar-2020","08:23:24",1,1,2,3,3,13.3281,386.0217,1142,727,703,612,30
"31","31-Mar-2020","08:23:24",1,1,2,3,3,13.2698,399.3233,1093,733,703,612,31
"32","31-Mar-2020","08:23:24",1,1,2,3,3,13.2691,412.6222,1034,743,704,612,32
"33","31-Mar-2020","08:23:24",1,1,2,3,3,13.2611,425.9099,984,758,705,612,33
"34","31-Mar-2020","08:23:24",1,1,2,3,3,13.3346,439.2702,956,769,708,612,34
"35","31-Mar-2020","08:23:24",1,1,2,3,3,13.2762,452.5726,939,775,711,612,35
"36","31-Mar-2020","08:23:24",1,1,2,3,3,13.2993,465.8982,932,776,716,612,36
"37","31-Mar-2020","08:23:24",1,1,2,3,3,13.3384,479.2745,932,776,720,612,37
"38","31-Mar-2020","08:23:24",1,1,2,3,3,13.2614,492.5625,932,776,726,612,38
"39","31-Mar-2020","08:23:24",1,1,2,3,3,13.3108,505.9,932,776,731,612,39
"40","31-Mar-2020","08:23:24",1,1,2,3,3,13.339,519.2659,932,776,737,612,40
"41","31-Mar-2020","08:23:24",1,1,2,3,3,13.271,532.5636,932,776,744,612,41
"42","31-Mar-2020","08:23:24",1,1,2,3,3,13.3102,545.9007,929,776,750,612,42
"43","31-Mar-2020","08:23:24",1,1,2,3,3,13.3365,559.2638,924,776,756,612,43
"44","31-Mar-2020","08:23:24",1,1,2,3,3,13.3368,572.6273,918,776,763,612,44
"45","31-Mar-2020","08:23:24",1,1,2,3,3,13.2447,585.8986,907,775,769,612,45
"46","31-Mar-2020","08:23:24",1,1,2,3,3,13.3365,599.2627,895,773,775,612,46
"47","31-Mar-2020","08:23:24",1,1,2,3,3,13.3147,612.6043,884,772,781,612,47
"48","31-Mar-2020","08:23:24",1,1,2,3,3,13.263,625.8946,875,770,788,612,48
"49","31-Mar-2020","08:23:24",1,1,2,3,3,13.3621,639.2859,871,769,795,612,49
"50","31-Mar-2020","08:23:24",1,1,2,3,3,13.2996,652.6138,868,768,802,612,50
"51","31-Mar-2020","08:23:24",1,1,2,3,3,13.2489,665.8906,867,767,809,612,51
"52","31-Mar-2020","08:23:24",1,1,2,3,3,13.3034,679.221,867,767,817,612,52
"53","31-Mar-2020","08:23:24",1,1,2,3,3,13.3047,692.5529,867,767,824,612,53
"54","31-Mar-2020","08:23:24",1,1,2,3,3,13.3076,705.8869,867,766,832,612,54
"55","31-Mar-2020","08:23:24",1,1,2,3,3,13.34,719.2532,869,765,840,612,55
"56","31-Mar-2020","08:23:24",1,1,2,3,3,13.3342,732.6137,874,765,847,612,56
"57","31-Mar-2020","08:23:24",1,1,2,3,3,13.2418,745.8819,881,762,855,612,57
"58","31-Mar-2020","08:23:24",1,1,2,3,3,13.341,759.2623,889,760,863,612,58
"59","31-Mar-2020","08:23:24",1,1,2,3,3,13.3124,772.602,896,758,871,612,59
"60","31-Mar-2020","08:23:24",1,1,2,3,3,13.2572,785.8865,902,755,878,612,60
"61","31-Mar-2020","08:23:24",1,1,2,3,3,13.3044,799.2169,903,754,885,612,61
"62","31-Mar-2020","08:23:24",1,1,2,3,3,13.297,812.5405,903,754,892,612,62
"63","31-Mar-2020","08:23:24",1,1,2,3,3,13.3041,825.8706,903,754,899,612,63
"64","31-Mar-2020","08:23:24",1,1,2,3,3,13.3477,839.244,903,754,906,612,64
"65","31-Mar-2020","08:23:24",1,1,2,3,3,13.2694,852.5407,903,754,912,612,65
"66","31-Mar-2020","08:23:24",1,1,2,3,3,13.305,865.8727,903,753,918,612,66
"67","31-Mar-2020","08:23:24",1,1,2,3,3,13.3102,879.2088,905,753,924,612,67
"68","31-Mar-2020","08:23:24",1,1,2,3,3,13.3923,892.6274,908,752,929,612,68
"69","31-Mar-2020","08:23:24",1,1,2,3,3,53.2237,945.8784,912,750,933,612,69
"70","31-Mar-2020","08:23:24",1,1,2,3,3,13.3012,959.2072,939,747,947,612,70
"71","31-Mar-2020","08:23:24",1,1,2,3,3,13.3759,972.6216,949,746,949,612,71
"72","31-Mar-2020","08:23:24",1,1,2,3,3,13.298,985.9498,962,746,951,612,72
"73","31-Mar-2020","08:23:24",1,1,2,3,3,13.2919,999.2721,972,745,952,612,73
"74","31-Mar-2020","08:23:24",1,1,2,3,3,13.2903,1012.5916,980,744,952,612,74
"75","31-Mar-2020","08:23:24",1,1,2,3,3,13.2454,1025.8646,987,742,952,612,75
