"","Date","Time","Block","Trial","a","b","c","Xpos_cursor","Ypos_cursor","Xpos_dot","Ypos_dot","time"
"1","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1398,551,1
"2","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1401,551,2
"3","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1430,551,3
"4","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1456,551,4
"5","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1477,551,5
"6","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1493,551,6
"7","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1502,551,7
"8","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1503,551,8
"9","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1498,551,9
"10","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1485,551,10
"11","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1464,551,11
"12","03-Mar-2020","14:05:36",1,1,1,2,5,1398,648,1436,551,12
"13","03-Mar-2020","14:05:36",1,1,1,2,5,1392,648,1400,551,13
"14","03-Mar-2020","14:05:36",1,1,1,2,5,1389,648,1358,551,14
"15","03-Mar-2020","14:05:36",1,1,1,2,5,1387,650,1309,551,15
"16","03-Mar-2020","14:05:36",1,1,1,2,5,1385,651,1254,551,16
"17","03-Mar-2020","14:05:36",1,1,1,2,5,1383,651,1194,551,17
"18","03-Mar-2020","14:05:36",1,1,1,2,5,1383,651,1130,551,18
"19","03-Mar-2020","14:05:36",1,1,1,2,5,1383,651,1064,551,19
"20","03-Mar-2020","14:05:36",1,1,1,2,5,1388,651,994,551,20
"21","03-Mar-2020","14:05:36",1,1,1,2,5,1397,649,925,551,21
"22","03-Mar-2020","14:05:36",1,1,1,2,5,1417,648,856,551,22
"23","03-Mar-2020","14:05:36",1,1,1,2,5,1428,647,787,551,23
"24","03-Mar-2020","14:05:36",1,1,1,2,5,1429,647,722,551,24
"25","03-Mar-2020","14:05:36",1,1,1,2,5,1429,647,661,551,25
"26","03-Mar-2020","14:05:36",1,1,1,2,5,1410,645,604,551,26
"27","03-Mar-2020","14:05:36",1,1,1,2,5,1346,637,554,551,27
"28","03-Mar-2020","14:05:36",1,1,1,2,5,1169,616,511,551,28
"29","03-Mar-2020","14:05:36",1,1,1,2,5,965,611,475,551,29
"30","03-Mar-2020","14:05:36",1,1,1,2,5,881,603,446,551,30
"31","03-Mar-2020","14:05:36",1,1,1,2,5,813,597,426,551,31
"32","03-Mar-2020","14:05:36",1,1,1,2,5,781,597,414,551,32
"33","03-Mar-2020","14:05:36",1,1,1,2,5,768,597,411,551,33
"34","03-Mar-2020","14:05:36",1,1,1,2,5,760,599,416,551,34
"35","03-Mar-2020","14:05:36",1,1,1,2,5,754,600,428,551,35
"36","03-Mar-2020","14:05:36",1,1,1,2,5,748,602,449,551,36
"37","03-Mar-2020","14:05:36",1,1,1,2,5,740,603,475,551,37
"38","03-Mar-2020","14:05:36",1,1,1,2,5,722,605,507,551,38
"39","03-Mar-2020","14:05:36",1,1,1,2,5,690,605,544,551,39
"40","03-Mar-2020","14:05:36",1,1,1,2,5,668,601,585,551,40
"41","03-Mar-2020","14:05:36",1,1,1,2,5,654,601,629,551,41
"42","03-Mar-2020","14:05:36",1,1,1,2,5,653,601,674,551,42
"43","03-Mar-2020","14:05:36",1,1,1,2,5,653,601,719,551,43
"44","03-Mar-2020","14:05:36",1,1,1,2,5,653,601,763,551,44
"45","03-Mar-2020","14:05:36",1,1,1,2,5,653,601,805,551,45
"46","03-Mar-2020","14:05:36",1,1,1,2,5,654,601,844,551,46
"47","03-Mar-2020","14:05:36",1,1,1,2,5,683,604,879,551,47
"48","03-Mar-2020","14:05:36",1,1,1,2,5,788,611,909,551,48
"49","03-Mar-2020","14:05:36",1,1,1,2,5,959,621,933,551,49
"50","03-Mar-2020","14:05:36",1,1,1,2,5,1066,625,951,551,50
"51","03-Mar-2020","14:05:36",1,1,1,2,5,1205,638,963,551,51
"52","03-Mar-2020","14:05:36",1,1,1,2,5,1277,654,968,551,52
"53","03-Mar-2020","14:05:36",1,1,1,2,5,1293,657,966,551,53
"54","03-Mar-2020","14:05:36",1,1,1,2,5,1293,658,958,551,54
"55","03-Mar-2020","14:05:36",1,1,1,2,5,1274,658,944,551,55
"56","03-Mar-2020","14:05:36",1,1,1,2,5,1240,654,924,551,56
"57","03-Mar-2020","14:05:36",1,1,1,2,5,1183,645,898,551,57
"58","03-Mar-2020","14:05:36",1,1,1,2,5,1105,640,869,551,58
"59","03-Mar-2020","14:05:36",1,1,1,2,5,1048,631,836,551,59
"60","03-Mar-2020","14:05:36",1,1,1,2,5,985,627,801,551,60
"61","03-Mar-2020","14:05:36",1,1,1,2,5,898,621,765,551,61
"62","03-Mar-2020","14:05:36",1,1,1,2,5,828,615,728,551,62
"63","03-Mar-2020","14:05:36",1,1,1,2,5,792,612,693,551,63
"64","03-Mar-2020","14:05:36",1,1,1,2,5,747,608,659,551,64
"65","03-Mar-2020","14:05:36",1,1,1,2,5,712,607,628,551,65
"66","03-Mar-2020","14:05:36",1,1,1,2,5,688,604,601,551,66
"67","03-Mar-2020","14:05:36",1,1,1,2,5,644,599,579,551,67
"68","03-Mar-2020","14:05:36",1,1,1,2,5,599,596,563,551,68
"69","03-Mar-2020","14:05:36",1,1,1,2,5,562,593,553,551,69
"70","03-Mar-2020","14:05:36",1,1,1,2,5,516,586,550,551,70
"71","03-Mar-2020","14:05:36",1,1,1,2,5,477,585,554,551,71
